1, 0
2, 1
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 1
1, 0
2, 1
3, 0
4, 0
5, 0
6, 0
7, 0
8, 1
9, 0
10, 0
1, 0
2, 1
3, 1
4, 0
5, 1
6, 1
7, 0
8, 1
9, 1
10, 0
0, 0
1, 0
2, 0
3, 0
4, 1
5, 0
6, 0
7, 0
8, 0
9, 0
0, 31
1, 31
2, 31
3, 31
4, 10
5, 2
6, 1
7, 1
8, 3
9, 0
0, 0
1, 0
2, 0
3, 0
4, 0
5, 1
6, 0
7, 0
8, 0
9, 0
0, 1
1, 0
2, 1
3, 1
4, 0
5, 1
6, 1
7, 0
8, 1
9, 1
Adding large1
0, 40
1, 40
2, 41
3, 40
4, 41
5, 40
6, 40
7, 39
8, 41
9, 40
Adding large2
0, 4
1, 2
2, 1
3, 0
4, 0
5, 0
6, 0
7, 1
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 1
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 1
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 1
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
50, 0
51, 0
52, 0
53, 0
54, 0
55, 1
56, 0
57, 0
58, 0
59, 0
60, 0
61, 0
62, 0
63, 0
64, 0
65, 0
66, 0
67, 1
68, 0
69, 0
70, 0
71, 0
72, 0
73, 0
74, 0
75, 0
76, 0
77, 0
78, 0
79, 1
80, 0
81, 0
82, 0
83, 0
84, 0
85, 0
86, 0
87, 0
88, 0
89, 0
90, 0
91, 1
92, 0
93, 0
94, 0
95, 0
96, 0
97, 0
98, 0
99, 0
Adding large2
0, 40
1, 40
2, 40
3, 41
4, 40
5, 40
6, 40
7, 40
8, 40
9, 41
10, 41
11, 40
12, 41
13, 41
14, 40
15, 40
16, 41
17, 40
18, 40
19, 41
20, 40
21, 40
22, 40
23, 41
24, 40
25, 42
26, 41
27, 40
28, 41
29, 40
30, 41
31, 40
32, 40
33, 40
34, 40
35, 40
36, 40
37, 41
38, 40
39, 40
40, 41
41, 40
42, 40
43, 42
44, 42
45, 40
46, 43
47, 40
48, 42
49, 41
50, 40
51, 41
52, 42
53, 41
54, 40
55, 41
56, 40
57, 41
58, 41
59, 39
60, 41
61, 40
62, 41
63, 41
64, 40
65, 41
66, 40
67, 40
68, 41
69, 41
70, 39
71, 42
72, 41
73, 43
74, 40
75, 43
76, 40
77, 41
78, 41
79, 40
80, 43
81, 42
82, 40
83, 41
84, 40
85, 40
86, 40
87, 41
88, 40
89, 40
90, 40
91, 41
92, 40
93, 41
94, 44
95, 41
96, 40
97, 42
98, 40
99, 41
