ACES,-122.34113,47.55953,-0.000
AHAB,-122.18703,46.19479,-2.298
ALCT,-122.03770,47.64690,-0.055
ALKI,-122.41760,47.57510,-0.001
ALST,-123.03414,46.10881,-0.198
ASR,-121.60164,46.15259,-1.357
ATES,-122.06042,48.23617,-0.062
AUG,-121.68174,45.73595,-0.865
B001,-123.13141,48.04307,-0.237
B003,-124.14086,48.06236,-0.285
B004,-124.42701,48.20193,-0.030
B005,-123.50328,48.05955,-0.303
B006,-123.50080,48.05880,-0.302
B007,-123.50411,48.05758,-0.293
B013,-122.91080,47.81300,-0.075
B014,-123.81250,47.51330,-0.065
B017,-123.55750,46.99600,-0.034
B018,-123.02030,46.97950,-0.010
B019,-123.65180,46.65270,-0.009
B020,-123.84450,46.38270,-0.031
B022,-123.93105,45.95461,-0.010
B023,-123.07870,46.11120,-0.177
B024,-123.85580,45.63780,-0.038
B026,-123.82305,45.30935,-0.232
B028,-122.96383,44.49367,-0.140
B04A,-123.50400,48.05750,-0.294
B05A,-122.09600,48.26410,-0.154
B05D,-122.09600,48.26410,-0.153
B201,-122.26480,46.30330,-0.990
B202,-122.13670,46.24470,-1.219
B203,-122.33367,46.16900,-0.814
B204,-122.16900,46.13600,-0.784
B941,-122.21900,46.98680,-0.151
B943,-122.91130,47.81320,-0.084
BABE,-122.53528,47.60583,-0.083
BABR,-123.78924,44.62132,-0.418
BEN,-119.71852,46.51863,-0.335
BEVT,-122.27811,47.92497,-0.165
BHW,-122.03340,47.83665,-0.198
BILS,-124.25138,47.53966,-0.062
BKC,-121.69716,44.29926,-1.208
BLIS,-122.18657,46.19747,-2.116
BLN,-122.97265,48.00662,-0.601
BLOW,-122.18620,44.68370,-0.652
BLT,-120.17699,45.91500,-0.659
BOW,-123.22930,46.47483,-0.870
BPO,-121.68984,44.65175,-1.957
BRKS,-122.29013,47.75520,-0.033
BRO,-122.45316,44.26721,-1.341
BRV,-119.99232,46.48519,-0.920
BSFP,-122.30777,47.53186,-0.011
BUCK,-122.98619,44.19731,-0.964
BULL,-122.15589,45.44589,-0.222
BVW,-119.88349,46.81083,-0.670
C03A,-124.56620,47.94750,-0.048
C04A,-122.97160,47.71740,-0.053
C05A,-121.68950,47.69470,-0.541
C06A,-120.89440,47.92300,-0.594
C06D,-120.89430,47.92290,-0.544
C07A,-120.06130,47.69020,-0.863
CBS,-120.04285,47.80469,-1.067
CCRK,-119.85480,46.55850,-0.561
CDF,-122.04623,46.11689,-0.756
CDMR,-121.75779,47.42226,-0.479
CHZZ,-123.97810,45.48650,-0.055
CMM,-122.50705,46.43511,-0.620
COLT,-122.43815,45.17044,-0.219
COR,-123.30460,44.58550,-0.110
CORE,-123.91600,46.92570,-0.046
CPW,-123.13759,46.97365,-0.792
CSEN,-122.21848,47.80124,-0.055
D03A,-123.77140,47.11610,-0.031
D03D,-123.08940,47.53470,-0.262
D04A,-122.80350,47.11090,-0.031
D04D,-122.77230,47.17860,-0.037
D04E,-122.77150,47.17860,-0.045
D05A,-121.98880,47.18810,-0.266
D06A,-120.84450,47.19350,-0.575
D07A,-119.97320,47.19360,-0.453
DOSE,-122.97180,47.71720,-0.053
DY2,-119.77250,47.98503,-0.890
E03A,-123.56320,46.54590,-0.073
E04A,-122.72040,46.59340,-0.215
E04D,-122.56730,46.55660,-0.204
E05A,-121.76080,46.56050,-1.481
E06A,-120.97910,46.54330,-0.911
E07A,-119.85480,46.55850,-0.561
EARN,-122.04380,47.74090,-0.159
EDM,-122.15121,46.19717,-1.609
EGRN,-122.97418,47.07234,-0.055
ELK,-122.34205,46.30539,-1.270
ELL,-120.56751,46.90951,-0.789
ELW,-121.87267,47.49410,-0.267
EPH,-119.59715,47.35619,-0.661
ETW,-120.33352,47.60418,-1.477
EVCC,-122.20425,48.00750,-0.000
EVGW,-122.15338,47.85440,-0.010
EYES,-123.05774,45.32989,-0.065
F03A,-123.55910,45.93060,-0.325
F04A,-122.41930,45.93250,-0.211
F04D,-123.01080,46.08290,-0.236
F05A,-121.45880,45.88390,-0.455
F05D,-121.45970,45.88520,-0.472
F06A,-120.78170,45.76640,-0.577
F07A,-119.92780,45.89510,-0.227
FHE,-119.49809,46.95178,-0.455
FINN,-122.23220,47.71950,-0.121
FISH,-123.55910,45.93060,-0.325
FL2,-122.35149,46.19622,-1.378
FMW,-121.67101,46.94139,-1.859
FORK,-124.56620,47.94750,-0.048
FRIS,-122.10167,44.21208,-1.642
G03A,-123.28110,45.31530,-0.208
G03D,-123.26410,45.21150,-0.222
G04A,-122.47840,45.20590,-0.273
G05A,-121.31670,45.24220,-0.594
G05D,-121.31670,45.24220,-0.592
G06A,-120.63510,45.23570,-0.780
G07A,-119.66920,45.26640,-0.801
GBB,-119.62898,46.60869,-0.185
GBL,-119.46097,46.59819,-0.330
GHW,-122.27373,47.04149,-0.268
GL2,-120.82409,45.95957,-1.000
GLDO,-120.81479,45.83878,-0.610
GLK,-121.61073,46.55750,-1.305
GMO,-120.95734,44.43896,-1.689
GMW,-122.78759,47.54773,-0.506
GNW,-122.82498,47.56413,-0.220
GPW,-121.13788,48.11789,-2.354
GRCC,-122.18028,47.31237,-0.134
GRUT,-119.51028,46.55122,-0.219
GSM,-121.79604,47.20388,-1.313
GTWN,-122.32201,47.55121,-0.009
GUL,-121.59675,45.92401,-1.189
H02A,-123.99970,44.67640,-0.209
H03A,-123.29230,44.67650,-0.214
H04A,-122.18620,44.68370,-0.652
H04D,-122.73770,44.52340,-0.284
H05A,-121.22710,44.64730,-0.721
H06A,-120.33460,44.73440,-0.516
H07A,-119.56460,44.59130,-1.204
H1K,-119.59287,46.64468,-0.152
H2E,-119.53450,46.55780,-0.210
H2O,-119.42411,46.39555,-0.175
HART,-122.35010,47.58376,-0.002
HAWA,-119.53270,46.39250,-0.364
HDW,-123.05550,47.64831,-1.006
HEBO,-123.75539,45.21350,-0.875
HGBL,-119.46082,46.59801,-0.331
HICC,-122.29790,47.39012,-0.115
HIYU,-121.80739,45.43523,-1.418
HOLY,-122.38360,47.56540,-0.106
HOOD,-121.65093,45.32226,-1.512
HSR,-122.18065,46.17428,-1.720
HTW,-121.76887,47.80377,-0.833
HUBA,-122.65259,45.63067,-0.045
HUO,-121.84935,44.11954,-2.037
HUSB,-121.84942,44.11945,-1.997
I02D,-123.84690,44.10590,-0.109
I05A,-121.26750,44.16260,-1.011
I05D,-121.33950,44.33860,-0.811
IONE,-119.82783,45.49803,-0.317
JBO,-119.83816,45.46143,-0.645
JCW,-121.92746,48.19533,-0.792
